first_name, last_name, email        , gender     , Credit_Card, card_type                , money     , bank_name                                                                                                         , occupation                          , race                                             , university                                                                          , latitude, longtidue   , Country                         , street_address
*         , *        , ****@****.com, Male       , *          , instapayment             , $465947.16, COMPASS BANK                                                                                                      , Internal Auditor                    , Asian Indian                                     , University of Perpetual Help                                                        , 13.9    , 121.6158104 , Philippines                     , *
*         , *        , ****@****.com, Female     , *          , bankcard                 , $684281.03, The Governor and company of the bank of Ireland (Bank of Ireland)                                                 , Sales Associate                     , Delaware                                         , Universidade Independente                                                           , 41.5    , -8.5322628  , Portugal                        , *
*         , *        , ****@****.com, Male       , *          , switch                   , $175679.21, BANNER BANK                                                                                                       , Project Manager                     , Seminole                                         , Instituto Superior de Entre Douro e Vouga                                           , 41.2    , -7.7869527  , Portugal                        , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $586114.37, FIFTH THIRD BANK                                                                                                  , Accounting Assistant III            , Native Hawaiian and Other Pacific Islander (NHPI), Open University of the Netherlands                                                  , 52.4    , 4.615857    , Netherlands                     , *
*         , *        , ****@****.org, Male       , *          , maestro                  , $812719.02, Raiffeisenbank eG                                                                                                 , Clinical Specialist                 , Paraguayan                                       , Tajik National University                                                           , 38.5    , 68.5545252  , Tajikistan                      , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $408078.18, CITIZENS BANK                                                                                                     , Computer Systems Analyst IV         , Sioux                                            , Fujian Medical University                                                           , 23.4    , 116.70345   , China                           , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $870154.24, FIRST SAVINGS BANK                                                                                                , General Manager                     , Tlingit-Haida                                    , Universitas Negeri Medan                                                            , 5.3     , 95.9706     , Indonesia                       , *
*         , *        , ****@****.com, Male       , *          , visa-electron            , $267661.92, "AB ""Fjord Bank"""                                                                                               , Environmental Specialist            , Malaysian                                        , American University of Armenia                                                      , 40.8    , 43.9516138  , Armenia                         , *
*         , *        , ****@****.cn , Female     , *          , bankcard                 , $832649.35, CREDITO COOPERATIVO FRIULI (ABBREVIATO CREDIFRIULI) - SOCIETA' COOPERATIVA                                        , GIS Technical Architect             , Filipino                                         , Universidad del Salvador                                                            , -27.1   , -61.0797039 , Argentina                       , *
*         , *        , ****@****.gov, Female     , *          , jcb                      , $144631.88, COMPASS BANK                                                                                                      , Teacher                             , Venezuelan                                       , University of South Asia                                                            , 31.3    , 70.8743691  , Pakistan                        , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $888796.05, Raiffeisen Regionalbank Schwaz-Wattens eGen                                                                       , Staff Scientist                     , Dominican (Dominican Republic)                   , Shanghai City College                                                               , 32.1    , 118.909159  , China                           , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $971928.32, MUFG UNION BANK                                                                                                   , Accounting Assistant IV             , Guamanian                                        , Al-Eman University                                                                  , 15.8    , 44.06204    , Yemen                           , *
*         , *        , ****@****.it , Male       , *          , visa-electron            , $478696.20, Internationales Bankhaus Bodensee Aktiengesellschaft                                                              , Chemical Engineer                   , Asian                                            , Lamphun College of Agriculture and Technology                                       , 9.9     , 98.5940814  , Thailand                        , *
*         , *        , ****@****.gov, Female     , *          , jcb                      , $584349.77, BANCO BPM SOCIETA' PER AZIONI                                                                                     , VP Product Management               , Thai                                             , Université Abdou Moumouni de Niamey                                                 , 13.8    , 5.2527741   , Niger                           , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $826079.13, Compagnie générale de crédit aux particuliers - Crédipar                                                          , Account Executive                   , American Indian                                  , St. Petersburg State Academy for Engineering Economics (ENGECON)                    , 43.8    , 131.978812  , Russia                          , *
*         , *        , ****@****.org, Female     , *          , switch                   , $787752.28, Aughrim Street Credit Union Limited                                                                               , Safety Technician III               , Ecuadorian                                       , University of Nueva Caceres                                                         , 11.1    , 124.8326192 , Philippines                     , *
*         , *        , ****@****.com, Female     , *          , diners-club-international, $389388.83, Honda Bank GmbH                                                                                                   , Senior Editor                       , Sri Lankan                                       , Jishou University                                                                   , 36.7    , 117.120095  , China                           , *
*         , *        , ****@****.vu , Female     , *          , jcb                      , $630039.88, ABN AMRO Bank N.V.                                                                                                , Safety Technician IV                , Yaqui                                            , Institut Supérieur de Commerce et d'Administration des Entreprises                  , 34.3    , -4.6605581  , Morocco                         , *
*         , *        , ****@****.com, Non-binary , *          , jcb                      , $226918.74, BANCA DEL PIEMONTE S.P.A.                                                                                         , Associate Professor                 , Spaniard                                         , Universidade Federal do Rio Grande do Sul                                           , -3.7    , -43.360096  , Brazil                          , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $224334.04, INTESA SANPAOLO S.P.A.                                                                                            , Staff Scientist                     , Delaware                                         , Drzavni Univerzitet u Novom Pazaru                                                  , 45.3    , 20.5145956  , Serbia                          , *
*         , *        , ****@****.cc , Male       , *          , jcb                      , $511295.98, BMO HARRIS BANK                                                                                                   , Financial Analyst                   , Menominee                                        , Universidad Antonio Nariño                                                          , 4.2     , -73.81476   , Colombia                        , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $374184.61, NBH BANK                                                                                                          , Senior Financial Analyst            , Cuban                                            , Yerevan State University                                                            , 40.2    , 44.0925766  , Armenia                         , *
*         , *        , ****@****.com, Male       , *          , visa                     , $672039.42, Bausparkasse der österreichischen Sparkassen Aktiengesellschaft                                                   , Occupational Therapist              , Malaysian                                        , "Institue of Technology, Tralee"                                                    , 53.4    , -6.3695384  , Ireland                         , *
*         , *        , ****@****.org, Female     , *          , jcb                      , $735915.51, BMO HARRIS BANK                                                                                                   , Business Systems Development Analyst, Tongan                                           , Universidade Metodista de Angola                                                    , -13.8   , 14.687936   , Angola                          , *
*         , *        , ****@****.com, Female     , *          , visa-electron            , $379817.36, S & T BANK                                                                                                        , Human Resources Manager             , Sri Lankan                                       , Guizhou Normal University                                                           , 20.0    , 110.198286  , China                           , *
*         , *        , ****@****.org, Female     , *          , jcb                      , $517222.14, "Aresbank, S.A."                                                                                                  , Product Engineer                    , Lumbee                                           , Université de N'Djamena                                                             , 9.3     , 15.7938069  , Chad                            , *
*         , *        , ****@****.edu, Female     , *          , jcb                      , $816254.47, Raiffeisenbank Liesingtal-St. Stefan eGen                                                                         , Human Resources Assistant I         , Alaskan Athabascan                               , Beijing University of Chemical Technology                                           , 33.3    , 112.64751   , China                           , *
*         , *        , ****@****.org, Genderqueer, *          , diners-club-carte-blanche, $659800.52, BANCO BPM SOCIETA' PER AZIONI                                                                                     , Chief Design Engineer               , Crow                                             , Rhodes University                                                                   , -30.9   , 30.3046289  , South Africa                    , *
*         , *        , ****@****.com, Female     , *          , jcb                      , $683917.74, CAPITAL BANK                                                                                                      , Quality Engineer                    , Sri Lankan                                       , Yaba College of Technology                                                          , 9.2     , 12.4953899  , Nigeria                         , *
*         , *        , ****@****.com, Male       , *          , jcb                      , $138488.01, Aughrim Street Credit Union Limited                                                                               , Chief Design Engineer               , Cuban                                            , University of Food Technology                                                       , 43.4    , 24.5714432  , Bulgaria                        , *
*         , *        , ****@****.com, Male       , *          , laser                    , $192442.07, BANCO BPM SOCIETA' PER AZIONI                                                                                     , Research Assistant IV               , Asian                                            , Université de Fianarantsoa                                                          , -24.3   , 45.95       , Madagascar                      , *
